text,rating,sentiment,text_clean,sentiment_encoded
Barang sesuai pesanan dan cepat sampai,5,Positif,barang sesuai pesanan cepat,2
Barang bagus harga murah,5,Positif,barang bagus harga murah,2
Paket rapi...mantap....cepat....sampe ke tujuan,5,Positif,paket rapimantapcepatsampe tujuan,2
ya saya puas dgn barangnya,5,Positif,ya puas dgn barangnya,2
Responya luar biasa b mantap,5,Positif,responya b mantap,2
"seller top, pengiriman cepat barang oke",5,Positif,seller top pengiriman cepat barang oke,2
pengiriman cepat seller top,5,Positif,pengiriman cepat seller top,2
Produk sesuai dengan spec di web dan respon seller sangat cepat. Thankyou.,5,Positif,produk sesuai spec web respon seller cepat thankyou,2
"Respon super cepat, pengiriman cepat, Barang bagus sesuai deskripsi penjual..thx gan",5,Positif,respon super cepat pengiriman cepat barang bagus sesuai deskripsi penjualthx gan,2
"Barang mantap, pelayanan cepat",5,Positif,barang mantap pelayanan cepat,2
"Sippp,sesuai pic,dscrbs..cuma blum dicoba😁",5,Positif,sipppsesuai picdscrbscuma blum dicoba😁,2
Sayang produk yg datang di paking kurang rapi sehingga kebuka n isinya terhambur.  Saran klo mengirimkan isi paku tembak seperti ini di beri lakban dulu dikemasan pakunya baru di gabung kan dgn yg lain supaya tidak tercecer. Untuk kualitas barang seperinya bagus walau saya belum coba.  Terima kasih,3,Netral,sayang produk yg paking rapi kebuka n isinya terhambur saran klo mengirimkan isi paku tembak lakban dikemasan pakunya gabung dgn yg tercecer kualitas barang seperinya bagus coba terima kasih,1
Barang sesuai deskripsi..respon dan proses cepat. Terima kasih,5,Positif,barang sesuai deskripsirespon proses cepat terima kasih,2
Mantaaaaaaaappp..........,5,Positif,mantaaaaaaaappp,2
superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,5,Positif,superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,2
josss pokok e bisa buat langganan,5,Positif,josss pokok e langganan,2
"berfungsi dengan baik, normal",5,Positif,berfungsi normal,2
"Cara Memberikan Nilai Reputasi ke Penjual

Untuk dapat memberikan nilai reputasi ke penjual, Anda dapat melakukan langkah-langkah berikut ini:",5,Positif,nilai reputasi penjual nilai reputasi penjual langkahlangkah,2
Barang sesuai dengan deskripsi. Pengiriman cepat gak pake lama. Barang bagus. Mantap dahh pokoknya. Thanks gan,5,Positif,barang sesuai deskripsi pengiriman cepat gak pake barang bagus mantap dahh pokoknya thanks gan,2
Sesuai dengan deskripsi,5,Positif,sesuai deskripsi,2
